"id","email","password","token_ativacao","ativado"
1,"diogopavani@gmail.com","$2y$10$RRUYiMZuAv3zk2qA0TCtquFc6/odlZg6HmlCp5OPTIxv/wOL9dLPS",NULL,False
2,"diogo@gmail.com","$2y$10$U2FV8eMGahXuuuZdfBZSzuJ4f83.YjPwEntqYT3lwvGV1YMfp9XDy",NULL,False
3,"diogo2@gmail.com","$2y$10$COXfW/N72MDoQj.ZQ8qAwu8Mpanusi4/jylPwbWvUqfQiF95ik19W",NULL,False
4,"diogo20@gmail.com","$2y$10$4hlzKQG4nzsxcxDfq8ELDunu4iV/YwY//oZ9b2qRV4WCl3VWigtsK",NULL,True
5,"diogosilva@gmail.com","$2y$10$Asjpp5xFJHGBXO6M4blNzOyUkzKp9SkOZ8HFJG8GZiQRQYLyp87.a",NULL,False
6,"32","$2y$10$a0dQWpoXEUX49T1vHGGr7O0bI5UW9tc8GMqcDwX8CFzNEsKqsQCOS",NULL,False
7,"diogo22220@gmail.com","$2y$10$q8G6Q5u.bIut2t5AnuBQk.QQbnNII3DmZ3uUi9SaDBnvHmqDHYIbO","fa3e17dcb51539dbbf38ec69d263d947",False
8,"pavanidiogo@gmail.com","$2y$10$nL2l84lJ3yzcS3SF9mOqmuseqv5jBi/MzlWMw.0pUFJFkxbW1MqY.","f053e0ed8a6b43196300e661ace63533",False
9,"sdasda","$2y$10$yCJBDDAvo0BCACmzKtrOQu7/wJdASXZ6qOXxvLbCGMF9NtN0fQPn.","f162c0895c2b7777c4e34ea87017622a",False
10,"sad","$2y$10$5Z0TwzwzT7ugnlOaldn9huskotNme34IQvmowP1lit0kJv9Qd489.","0da89e32e2917591b373308e58ab0b39",False
11,"gamemax0001@gmail.com","$2y$10$zv.UjA5fTfl2s5kkRS1sE.kvFo8rTgOVGeDAdfYirztRjQgTwxQYS",NULL,True
12,"dsada","$2y$10$N4vwqneMrAc/j02xmT9rEelIhAy9ngjBWwrbYLB1T2AQGj80YkUJS",NULL,True
13,"3232sds","$2y$10$wb0w3mUCj8RnSkjXxHBQ8.WuS3q.dZ2xU/96ko5BCgr7GxqnF3TB.",NULL,True
14,"tes","$2y$10$6OLB.hvArS8yqBpxnoMh2uYWn1XRT1.YYcaJeUnDvJOLdT/7ktDTW",NULL,True
15,"23131","$2y$10$hwv8UnkhyL5mR9fEo38rn.rVuyaFBGzlTvYs2r7khqL3ME2qajbjG",NULL,True
16,"231312","$2y$10$a0CW1IZoD5QHTYmKNdoWnu6yuWxWUO98D8XZi5wsID1sTU2LJ47sW",NULL,True
17,"pavanidiogo1@gmail.com","$2y$10$9uiS7pxsoPSHRubcmxRD9e45A0/D5wfNPzIkHLokAnYcvC.fYhXNa",NULL,True
18,"w4wsdd","$2y$10$M//Tf3Rj8gqSGuj3/4RJ4u1Ts9N7bTvr3h3bwR5bQwzAYEGHI0zyq","68e9aaa9014de39dd2b18c7b1f46dbc3",False
19,"test232","$2y$10$9YErZRO7LhZ7Z1elzICbAObhIAPv5zzYr1WitQMAHG1Cjv7doTdPG","1fa99a72f280dce9465729cd9dd3fafa",False
20,"oitensasda","$2y$10$U5tPFVNUtd15Bj1L/gBXp.QcKrIu4QuWLhlPsxR1IXCbup2EbnAkS","beda7735be717a01aeb89381f38f0b0b",False
21,"pavanidiogo123@gmail.com","$2y$10$/kkyOEVD.QGGB7.bctVHpOSoqZ/jzqFs/6p.mbgpk7WuGsGEX3MC6","9cdffb5afff2c07e62e37b980a67ae10",False
22,"pavanidiogo144@gmail.com","$2y$10$NUkjehzXQrGI4TJQejvEtO4RtldhjpdJKVgNG3mBUhYvR9Uzhzz5y","a8d00831c9919f492ac393f1063cf716",False
23,"gamemax0002@gmail.com","$2y$10$qk6W3joKnXkZ1KcH/9tyI.yj0v06ma/R7UMZFWUjIx0bCRNa6w.o.","0cca5f11c69357cc0fa0e2a5501be67e",False
24,"pavanidiogo2@gmail.com","$2y$10$XQ3VkoVhR7dmU0zZxPwXP.YcbmJQZlgVf4AWMRwBPrlFlgR1b/PaW",NULL,True
